Серийный номер;Выходное напряжение (без нагрузки) [В];Выходное напряжение при Vin180 [В];Выходное напряжение при Vin300 [В];Выходное напряжение при Vin375 [В];Выходное напряжение(половина нагрузки) при Vin300 [В];LineReg [%];LoadReg [%];LoadReg + LineReg [%];Пульсации при Vin180 [мВp-p];Пульсации при Vin300 [мВp-p];Пульсации при Vin375 [мВp-p];ПульсацииRMS [мВ];КПД при Vin180 [В];КПД при Vin300 [В];КПД при Vin375 [В];Напряжение отключения [В];Выходное напряжение в режиме генератора тока [В];Выходной ток в режиме генератора тока [А];Пульсации в режиме генератора тока [мВр-р];
123;28.153;28.015;28.03;27.946;28.076;0.3;0.439;0.739;336.0;240.0;308.0;38.2;88.9;91.6;88.6;2.45;0.297;9.455;356.0
RK051820231300003;28.145;28.007;28.023;27.942;28.068;0.289;0.435;0.724;320.0;224.0;304.0;37.1;88.8;91.7;88.7;2.45;0.331;9.46;356.0
RK051820231300002;28.029;27.873;27.852;27.821;27.907;0.111;0.636;0.747;360.0;264.0;292.0;43.6;89.0;91.2;91.0;2.45;0.314;9.292;388.0
RK051820231300002;28.027;27.872;27.851;27.821;27.906;0.108;0.632;0.74;364.0;252.0;284.0;42.9;88.8;91.2;91.0;2.45;0.356;9.3;392.0
