Регулировка0.1 От номинального [V];Регулировка0.2 От номинального [V];Регулировка0.3 От номинального [V];Регулировка0.4 От номинального [V]; Регулировка0.5 От номинального [V];Регулировка0.6 От номинального [V];Регулировка0.7 От номинального [V];
2.11195942;4.75737965;7.17457761;9.58985596;11.998402;14.3980894;16.7981744;
2.37993945;4.75908757;7.16123194;9.59249977;11.9942768;14.3879245;16.7939568;
