Регулировка0.1 От номинального [V];Регулировка0.2 От номинального [V];Регулировка0.3 От номинального [V];Регулировка0.4 От номинального [V]; Регулировка0.5 От номинального [V];Регулировка0.6 От номинального [V];Регулировка0.7 От номинального [V];
0;0;0;0;0;0;0;
1.19900921;2.1591277;3.55912767;4.78848018;5.98843665;7.19357893;8.3968113;
1.18229858;2.37088852;3.55714114;4.79993383;5.98374206;7.19276909;8.39013746;
